Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-01-03 00:00:00-05:00,2.2918842745177885,2.3059552715689526,2.2693704044117644,2.29638671875,41721600,0.0,0.0
1995-01-04 00:00:00-05:00,2.3053930249895167,2.3189014620695794,2.2783767004779207,2.2918851375579834,41865600,0.0,0.0
1995-01-05 00:00:00-05:00,2.2963863702429617,2.3414135539732155,2.2918839266940556,2.3098948001861572,60480000,0.0,0.0
1995-01-06 00:00:00-05:00,2.309896391356121,2.345918163153888,2.305393395057091,2.3414151668548584,56316800,0.0,0.0
1995-01-09 00:00:00-05:00,2.336911252783769,2.3774354457855225,2.336911252783769,2.3774354457855225,75056000,0.0,0.0
1995-01-10 00:00:00-05:00,2.390944587493432,2.4269663473829866,2.3774361527106307,2.3999500274658203,109320000,0.0,0.0
1995-01-11 00:00:00-05:00,2.40895462077916,2.426965494393777,2.377435317129459,2.3864407539367676,58468800,0.0,0.0
1995-01-12 00:00:00-05:00,2.381939122673107,2.4359717619437813,2.361676333298174,2.4179608821868896,85384000,0.0,0.0
1995-01-13 00:00:00-05:00,2.4359719489083536,2.467490716077812,2.4314689537993037,2.4539828300476074,126689600,0.0,0.0
1995-01-16 00:00:00-05:00,2.467490716077812,2.467490716077812,2.440474394368931,2.4539828300476074,59564800,0.0,0.0
1995-01-17 00:00:00-05:00,2.4539831093199824,2.499010317292381,2.4089559013475843,2.4134583473205566,118696000,0.0,0.0
1995-01-18 00:00:00-05:00,2.458485562362197,2.508015766098524,2.458485562362197,2.4990103244781494,189520000,0.0,0.0
1995-01-19 00:00:00-05:00,2.49450646720297,2.548539098261518,2.485501028693212,2.546288013458252,146992000,0.0,0.0
1995-01-20 00:00:00-05:00,2.5350319239261685,2.5440373649531733,2.4725564019770707,2.4787473678588867,146233600,0.0,0.0
1995-01-23 00:00:00-05:00,2.4629880392924677,2.5440369968069625,2.4494796048825083,2.53503155708313,105260800,0.0,0.0
1995-01-24 00:00:00-05:00,2.5440370366882967,2.5823101561145703,2.51702071709328,2.5755558013916016,110656000,0.0,0.0
1995-01-25 00:00:00-05:00,2.5215235692020723,2.5845616584321243,2.503512686564915,2.5530428886413574,152656000,0.0,0.0
1995-01-26 00:00:00-05:00,2.5461925665972567,2.5687249666865606,2.5236596163938136,2.5394327640533447,78633600,0.00375,0.0
1995-01-27 00:00:00-05:00,2.5416860295013644,2.5777383136077665,2.532672958474764,2.5597121715545654,80027200,0.0,0.0
1995-01-30 00:00:00-05:00,2.5642192823788976,2.5642192823788976,2.519153921969025,2.523660182952881,65137600,0.0,0.0
1995-01-31 00:00:00-05:00,2.5191536234887044,2.5236598839386386,2.4870440078868947,2.5011274814605713,84265600,0.0,0.0
1995-02-01 00:00:00-05:00,2.5011272943280356,2.559711976479106,2.4921142239883203,2.5461926460266113,75233600,0.0,0.0
1995-02-02 00:00:00-05:00,2.5416860148311713,2.6053411036462304,2.5416860148311713,2.602524518966675,88065600,0.0,0.0
1995-02-03 00:00:00-05:00,2.622805179381857,2.6723773736370537,2.595765950728436,2.6498444080352783,142459200,0.0,0.0
1995-02-06 00:00:00-05:00,2.645335782083204,2.6813880547513635,2.645335782083204,2.654348850250244,56099200,0.0,0.0
1995-02-07 00:00:00-05:00,2.6543486154017435,2.6588548740295517,2.6182963459233766,2.6318156719207764,44675200,0.0,0.0
